title,item,quantity,unit_cost_rs,unit_cost_usd,total_rs,total_usd,link
Quartz/Robu/Aero,10Ω 0603 resistor (pack of 20),1,11 rs,,11 rs,,https://quartzcomponents.com/products/yageo-10-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45952331022570&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqUeIaNl97YTTndRBMInGg19xPZ6gbHj_jKugjYSWfkCaf0yJZXP2c
Quartz/Robu/Aero,USB TYPE-C 3.1 16 PIN,2,6 rs,,12 rs,,https://quartzcomponents.com/products/c-type-usb-port-plug-16-pin-smd-smt-jack-solder-connector?variant=45959582351594&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorlDxhURSCllkQA-Ubw9SVkdQQaCbmdcpwe_ewM4-xBP7dmsA0utfE
Quartz/Robu/Aero,ESP32-S3-WROOM-1 N16R8 Module,1,367 rs,,367 rs,,https://robu.in/product/espressif-esp32-wroom-32e-n16-module/?gad_source=1&gad_campaignid=17413441824&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuFFtukshFuj8zmDOsadCES2A5rLQ1vcUes1r7ojZ2MNeAR45VA02BxoCjsYQAvD_BwE
Quartz/Robu/Aero,A9G GSM/GPRS/GPS Module,1,650 rs,,650 rs,,https://aerokartindia.in/product/ai-thinker-a9g-gprs-series-module/?srsltid=AfmBOoprVJgg3dNBCt0HipayflhrphwPdQDOAKkFIU50p44QuJhKxL16HGY
Quartz/Robu/Aero,AMS1117-3.3V Voltage Regulator SOT-223,2,8 rs,,16 rs,,https://quartzcomponents.com/products/ams117-3-3v-smd-voltage-regulator-3-3v?variant=35653066752153&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor5yRZdI8JSz6CnGinzbMh1zW2472XfG-mUcyd1Ik1H6U7uwqr1W2g
Quartz/Robu/Aero,DW01A Battery Protection IC,2,4 rs,,8 rs,,https://quartzcomponents.com/products/dw01a-lithium-ion-lithium-polymer-battery-protection-ic-sot-23-6-smd-package?variant=45090775204074&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings&srsltid=AfmBOopaqM265KrUQFpDHvNtoSQa2BhEQrTrn3hdV7jEZ7i18wJSniKExf
Quartz/Robu/Aero,MT3608 Step-Up Converter,1,11 rs,,22 rs,,https://robu.in/product/mt3608-xian-aerosemi-tech-boost-type-adjustable-2a-2v24v-sot-23-6-dc-dc-converters-rohs/
Quartz/Robu/Aero,FS8205A,2,5 rs,,10 rs,,https://quartzcomponents.com/products/fs8205a-dual-n-channel-power-mosfet-tssop-8-package?variant=45108749467882&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOortu6IVpoaGA1MsOxUJhfb98oX593FlukBAKQ-ZaavC_BDgcH1XD_8
Quartz/Robu/Aero,schotkky diode,2,3 rs,,6 rs,,https://quartzcomponents.com/products/ss34-3a-40v-schottky-diode-big-smd-do-214ab-smc?variant=45090730213610&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqYL4UuhSCNlZop6JilovdNrUi0lwQPyl2L_DmsVe7MjnFCDSTo-Bo
Quartz/Robu/Aero,LED green 0805 SMD (pack of 50),1,20 rs,,20 rs,,https://quartzcomponents.com/products/green-led-smd-0805-package-pack-of-50?variant=44704069288170&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop7uWsyZMNc2j3j__eG91DGzj-Iz0mwQhU-KI_SUbaU3UGPz0_VdK8
